date,impact_on_final_nav
2025-04-04,-1.0650689653481438
2022-06-13,-0.7801555117965129
2024-12-18,-0.6940835860916683
2022-06-16,-0.6236014401481706
2022-05-18,-0.6172471018178262
2022-05-09,-0.5952305689579797
2022-09-13,-0.5748506633990674
2022-04-29,-0.5222843257478266
2025-10-10,-0.5194656344377478
2022-04-22,-0.5194200807823416
2022-08-26,-0.5105493033847491
2021-02-25,-0.5076990740833385
2022-05-05,-0.49545701438468737
2022-06-10,-0.4732876136976486
2022-10-14,-0.4474574440571556
2025-01-27,-0.43894976851946255
2022-03-07,-0.42871885533651255
2021-11-30,-0.4257149722018471
2022-12-15,-0.424380142661488
2021-05-12,-0.4107383948506194
2022-06-09,-0.40125498145960875
2023-02-21,-0.39993368694436965
2024-08-05,-0.3964743152214938
2022-04-26,-0.38379356747563803
2021-11-26,-0.38321567241278826
2021-03-23,-0.37989845634629743
2022-09-23,-0.3795951331976472
2023-03-10,-0.3679790318468515
2025-04-21,-0.3654589316175948
2021-09-28,-0.3632474254634421
2025-02-21,-0.3607525736876914
2022-10-07,-0.36008489907965907
2022-11-02,-0.35259897460929396
2023-03-09,-0.34884136039293184
2022-06-28,-0.3375224819210217
2025-05-21,-0.3312063222397594
2024-04-12,-0.3285871912564198
2022-09-29,-0.3278114125672929
2022-12-05,-0.32507381693668985
2023-03-22,-0.32047675723380414
2022-01-18,-0.3199727557906735
2021-09-20,-0.3193785756171955
2021-03-04,-0.3179160053085928
2022-11-09,-0.31628417401881215
2022-01-19,-0.315726578687858
2022-02-17,-0.31269437428540886
2022-08-22,-0.31040769489662584
2024-09-03,-0.3094083539440591
2022-01-05,-0.3081805085869585
2022-01-21,-0.3017094891617559
2025-11-13,-0.30135733218781663
2024-12-09,-0.2961621837172261
2023-12-20,-0.29077780917899687
2025-11-20,-0.2904132218310218
2022-09-22,-0.28693766430182127
2024-01-03,-0.2790971427858494
2021-11-10,-0.2782714354271298
2024-07-24,-0.27750743823786844
2022-04-21,-0.274235433840195
2023-10-03,-0.27338438459514286
2022-09-21,-0.27302417239881577
2022-11-28,-0.27213956865660427
2022-12-28,-0.27192084402906386
2022-02-23,-0.27120289495377076
2022-08-19,-0.27058053981033686
2023-09-21,-0.2632751589826882
2025-04-03,-0.260683413570161
2023-04-25,-0.2549730639036729
2023-01-30,-0.253217308264373
2023-09-26,-0.25317087960759266
2023-05-23,-0.25067477299171437
2022-11-16,-0.24846087474380021
2024-02-13,-0.2470992418625566
2022-09-20,-0.24616737250597454
2022-01-20,-0.24463905929891036
2024-08-02,-0.24306505998988162
2023-10-20,-0.23998681908052566
2023-01-18,-0.2397192904440883
2023-03-15,-0.23965401620454693
2022-03-01,-0.23717011872587387
2025-03-04,-0.23627649789590782
2022-03-08,-0.23499351077536001
2024-04-04,-0.2334170842214503
2022-02-11,-0.22917779877733463
2025-03-11,-0.22886694492709106
2023-10-19,-0.2263838345222549
2025-03-06,-0.22545537326429946
2022-05-11,-0.22337902371543275
2021-12-01,-0.22134091770143002
2023-02-16,-0.2212992501268475
2022-07-12,-0.22082452120691085
2021-09-30,-0.21961047216420468
2021-05-11,-0.219294426164401
2022-09-16,-0.21718079522723527
2024-04-30,-0.21635937819686496
2022-08-30,-0.21506283104907414
2023-08-17,-0.21364606496153057
2024-04-15,-0.21348364028042355
2021-01-29,-0.21043435932281357
2022-12-22,-0.20954923745435539
2022-02-22,-0.20859432711030526
2025-04-07,-0.20798061431178674
2026-01-20,-0.2069849506826059
2025-11-04,-0.20642614440632054
2021-01-28,-0.2061596058764514
2025-12-12,-0.2060050773112144
2023-08-24,-0.2055353159493288
2023-10-18,-0.20416983346358308
2025-03-28,-0.20149608627843635
2025-08-01,-0.19601721189733637
2026-01-07,-0.1959378113828752
2023-08-02,-0.19531060831349112
2024-01-31,-0.1915885682313867
2023-02-03,-0.19073941968748861
2024-12-27,-0.18971499835167377
2021-05-18,-0.18880134225250927
2022-12-09,-0.18761738334177794
2025-02-27,-0.18758244059575038
2022-06-08,-0.18704973731535476
2023-08-15,-0.18662922207491342
2024-03-14,-0.18662164931407585
2021-06-18,-0.1864206337103485
2023-09-15,-0.18612322217742103
2022-12-06,-0.18453988599899926
2022-05-31,-0.1844253557651122
2022-07-26,-0.18396383241000916
2022-02-03,-0.1829438369974353
2024-09-06,-0.1827426876949208
2024-03-05,-0.1819640029086785
2025-02-20,-0.18123052122903233
2023-03-17,-0.17721279620201322
2024-11-14,-0.176785455690262
2023-07-06,-0.17649723526456013
2025-04-10,-0.1753958796539
2024-12-30,-0.17521487577474298
2023-01-19,-0.17496846626784207
2023-10-25,-0.171953068659099
2025-03-10,-0.17180482558509447
2022-03-31,-0.17140956229335533
2022-06-01,-0.17101979248071342
2025-04-16,-0.1699710931679649
2022-12-19,-0.16932854653503684
2022-12-16,-0.16922385960098854
2025-12-31,-0.16903575907555532
2024-07-17,-0.16725832699868196
2022-04-11,-0.16700627152645747
2021-12-13,-0.16621396710674813
2022-07-11,-0.16516295883355578
2021-10-27,-0.1646249495576294
2022-11-14,-0.16448580617267425
2024-05-29,-0.16299827267009265
2023-03-07,-0.16282963112495155
2025-01-07,-0.16210683437685713
2021-12-20,-0.16045401398236947
2022-04-05,-0.16041706285623242
2022-08-17,-0.16030274831316998
2023-02-09,-0.16012758074475744
2022-02-10,-0.1600586266467185
2024-02-20,-0.15636709993554068
2021-03-16,-0.15635367561346303
2024-12-17,-0.1561028808541083
2024-04-02,-0.15573521678552202
2023-07-20,-0.1547871014946309
2025-07-15,-0.154242590344363
2022-06-03,-0.1534094110994027
2025-04-08,-0.1533905748975941
2023-09-05,-0.15321321896519127
2021-07-08,-0.1519462783113143
2025-11-17,-0.1514916077618424
2021-04-30,-0.15141219711098836
2024-05-23,-0.15082348943809692
2021-12-09,-0.1498762565022561
2022-03-11,-0.14621372543331015
2023-02-06,-0.14534381919537498
2021-07-19,-0.14516635278843878
2024-08-01,-0.14496295711323381
2021-12-17,-0.14314007159780115
2021-02-18,-0.14284381354467782
2021-12-14,-0.14125183269148275
2023-02-08,-0.13997499163132768
2022-09-26,-0.13920292337847573
2023-08-09,-0.139048499642412
2025-06-13,-0.1386922381534722
2021-12-16,-0.13586022204657525
2022-09-30,-0.13405234671103447
2025-10-07,-0.13398681316261749
2021-11-22,-0.1321759245340754
2023-05-31,-0.13083844332390968
2024-02-16,-0.1306548976272612
2022-02-14,-0.12992034068479688
2025-10-09,-0.12939346809468885
2022-07-22,-0.12820265715970947
2021-09-17,-0.12778496216232052
2024-06-14,-0.12760640008526314
2024-06-20,-0.12695680005253404
2023-02-17,-0.12694332684915674
2025-10-22,-0.1262270011918668
2025-01-31,-0.12434655948919854
2025-08-14,-0.12322707613207641
2021-10-04,-0.12143868657259753
2024-01-17,-0.12098580221041175
2024-10-31,-0.12047986479898552
2023-09-12,-0.12032056500547386
2025-06-17,-0.11978167888863656
2025-07-07,-0.11952143430316352
2024-07-18,-0.11937148008529813
2022-07-18,-0.11886693319053722
2024-04-10,-0.11793332396690076
2023-08-16,-0.11793254028427555
2022-05-24,-0.11765610614210474
2025-07-31,-0.11764394923818383
2023-12-29,-0.11745712420121633
2022-10-10,-0.11739631155454855
2022-02-18,-0.11652302863821594
2025-03-12,-0.1162663372855664
2025-09-25,-0.11615949723536775
2023-02-24,-0.11558336152469798
2021-05-19,-0.11452143114374232
2021-03-24,-0.11268679623942217
2024-03-11,-0.1119256501446239
2021-08-17,-0.11145515265330977
2025-03-03,-0.11080817446682621
2024-10-23,-0.11008666027083232
2025-12-16,-0.10978913573867989
2024-08-07,-0.10961460050155013
2024-10-15,-0.10927048986855947
2021-09-07,-0.1083646344086795
2022-09-15,-0.10731767523242065
2024-12-10,-0.10731750898499864
2021-03-29,-0.10717064152895336
2021-03-18,-0.10713585091098561
2025-02-25,-0.10479403523896082
2022-03-23,-0.10407236856217515
2023-07-27,-0.10352999257258619
2022-08-09,-0.10324127571646219
2023-10-12,-0.10322402982694842
2023-05-24,-0.102454360094536
2025-12-17,-0.10207761390530395
2022-03-14,-0.10183393409930311
2022-01-27,-0.10077488199300946
2025-05-28,-0.10008122624468466
2022-10-12,-0.09966326088060017
2023-10-27,-0.09892927954414933
2021-04-19,-0.09822979397433486
2023-05-02,-0.0981905158050274
2022-10-19,-0.09806448076600902
2021-04-20,-0.09778543412190008
2025-12-01,-0.09764936297251466
2024-03-22,-0.09747836278425609
2023-06-23,-0.09703456794140489
2021-08-18,-0.09664494591940481
2024-10-07,-0.09497081814551707
2021-12-30,-0.09481348524442686
2021-08-26,-0.09474498167775966
2021-07-13,-0.0946975690892084
2024-04-17,-0.09376073593438825
2022-04-06,-0.09340727558492351
2022-06-30,-0.09332344096505403
2024-01-02,-0.09303967463564397
2022-05-06,-0.09203180653014958
2025-01-10,-0.09198143555889145
2021-12-03,-0.09115065006242878
2025-03-18,-0.09000465697171187
2022-10-20,-0.08861005301711096
2023-10-26,-0.08833189308793298
2022-10-11,-0.08818760083541304
2023-05-16,-0.08806928277066993
2024-05-01,-0.0872631423286841
2023-04-05,-0.08697136356633722
2022-07-14,-0.0869563207878906
2021-05-25,-0.08623342252940128
2024-06-07,-0.08533325317356232
2024-08-28,-0.08517582392075886
2025-07-11,-0.08440631309632433
2023-06-16,-0.08431877266165112
2023-12-05,-0.08242930301715833
2021-09-27,-0.08223152184951228
2022-11-17,-0.08077773925987836
2023-09-29,-0.07990892533259243
2023-04-04,-0.07958111822759566
2025-12-29,-0.07955817926260246
2024-02-21,-0.07918355767942722
2024-05-16,-0.07900418914508212
