ticker,impact
GRMN,-0.0007511550774558878
CRWD,-0.0007235297211747551
HOOD,-0.0007153254020498417
PLTR,-0.000669102348712848
HWM,-0.000550199963341586
UBER,-0.0005471025806737806
PAYC,-0.00048264156754017297
MMM,-0.00046893798480608206
CSCO,-0.00044349610570796255
PGR,-0.00043893930998547214
ROP,-0.0004295036967255601
IBM,-0.0004265445916622793
BA,-0.00041468567205505606
ZS,-0.00040054312143381624
EQT,-0.0003936974816399457
FTNT,-0.0003843446211220528
FOX,-0.0003822980349930453
FOXA,-0.00038143358058967245
TDG,-0.0003799855377403024
PAYX,-0.0003752443154977678
DPZ,-0.000370734443729465
WELL,-0.00036729711735208084
GE,-0.00036388729090737655
TPR,-0.0003570590802669556
TDY,-0.00035224630394013414
YUM,-0.00034851055485454383
RTX,-0.000346449470141532
LUV,-0.0003438425481346974
BR,-0.00033542724074377947
INTU,-0.0003345728539758997
AJG,-0.00032580955321046635
ALL,-0.0003206809328581845
GL,-0.0003160747913815027
FICO,-0.0003157498465610091
CPAY,-0.00031519146918822043
JBL,-0.00031229786627307005
NFLX,-0.0003100024943663982
JCI,-0.00030427931133924824
EXPD,-0.00030156415921905405
TTWO,-0.0002973206648930292
INTC,-0.0002924725730694698
BSX,-0.00028506923266661123
APH,-0.00028218200438817577
CHTR,-0.0002787713018898752
VTR,-0.0002733196880180036
PODD,-0.0002663748020928972
AAPL,-0.00026320457202282484
GDDY,-0.00026000822635690994
CTVA,-0.00025806673280147363
FCX,-0.00025694181690191493
WTW,-0.0002517791350176786
TMUS,-0.00024978024009061147
CTAS,-0.00024538288866030093
TKO,-0.00024198251095050366
GILD,-0.0002372682670006547
UDR,-0.00023331549946773242
HAS,-0.00023016825433465836
V,-0.00022229725286601195
EBAY,-0.00021591868150954674
OTIS,-0.00021361094461941376
ADP,-0.000209433473913891
AIZ,-0.00020655377803454188
ABT,-0.00020569208153423923
BRO,-0.0002024544087653185
MAA,-0.00019957241269653053
DE,-0.0001980028301761163
PDD,-0.000195412557408009
CINF,-0.0001940312439987676
GEV,-0.00019215755226781458
SOLV,-0.00018662732924142733
AFL,-0.00018100635385107246
TRV,-0.0001784874599737856
CVX,-0.00017650185717685746
ETR,-0.0001684751227196616
LW,-0.00016547028664811762
GLW,-0.0001631870575475112
AON,-0.00015646563707461892
ERIE,-0.00015528469885631993
JKHY,-0.00015276073337642835
MPWR,-0.0001509179086422927
EG,-0.0001492266572900949
KMI,-0.000147942753930218
ESS,-0.00014706131334522415
BKNG,-0.0001457899106642317
TSLA,-0.00014096424032342754
KLAC,-0.00014038426693480698
AMGN,-0.00013910381567455995
DGX,-0.0001388464052872912
HIG,-0.0001385948833141752
LIN,-0.0001377922977274636
PFG,-0.0001367020709612636
BMY,-0.00013406511669318514
MMC,-0.00013186581081292635
ABBV,-0.00012989503482162238
INVH,-0.00012946967828545404
LRCX,-0.00012702037064630248
VRSK,-0.00012557351719732604
CPT,-0.0001200727158225794
L,-0.0001148511368250218
HUM,-0.00011196517918780206
CSGP,-0.00011160124583074846
TSCO,-0.00010890240668022737
PSKY,-0.00010242456829750504
MCD,-0.00010104419794034062
VRTX,-9.989877970042074e-05
LKQ,-9.922841812394585e-05
PM,-9.813790032943871e-05
