ticker,total_picks,mean_realized_return,std_realized_return,hit_rate,first_picked_week,last_picked_week
ADI,1,0.1412794087935724,0.0,1.0,2025-12-08,2025-12-08
ALB,1,0.030421759047029,0.0,1.0,2025-12-08,2025-12-08
AMAT,1,0.0175677990663116,0.0,1.0,2025-10-06,2025-10-06
AMD,2,-0.24358272237753975,0.11450984627636795,0.0,2025-08-04,2025-11-03
ANET,1,-0.0516492810999096,0.0,0.0,2022-01-03,2022-01-03
ASML,1,0.0677337037612975,0.0,1.0,2025-10-06,2025-10-06
AVGO,1,-0.0381292639255492,0.0,0.0,2022-01-03,2022-01-03
AXON,1,0.0489734168603113,0.0,1.0,2021-07-12,2021-07-12
AZO,1,0.4614306218969444,0.0,1.0,2021-07-12,2021-07-12
BIIB,1,-0.0337255508282493,0.0,0.0,2025-12-08,2025-12-08
CAH,1,-0.0328686833922193,0.0,0.0,2025-11-03,2025-11-03
CCL,1,-0.1082854585941431,0.0,0.0,2023-07-03,2023-07-03
CF,1,0.1103034271237684,0.0,1.0,2022-01-03,2022-01-03
CMG,1,0.2935779016469955,0.0,1.0,2021-07-12,2021-07-12
CNC,2,-0.010821972025320904,0.0913938345792198,0.5,2022-01-03,2025-10-06
COIN,1,-0.1334359986505948,0.0,0.0,2023-07-03,2023-07-03
CSGP,1,0.0264929508839788,0.0,1.0,2025-08-04,2025-08-04
DAL,1,-0.0131346816687135,0.0,0.0,2023-07-03,2023-07-03
DECK,2,-0.03977144689138895,0.28672340030773225,0.5,2021-07-12,2025-12-08
DG,1,0.5787083129088417,0.0,1.0,2025-12-08,2025-12-08
DXCM,1,-0.0441159467803583,0.0,0.0,2025-12-08,2025-12-08
ELV,1,0.028707984469064,0.0,1.0,2022-01-03,2022-01-03
F,1,0.0140392367817343,0.0,1.0,2023-07-03,2023-07-03
FSLR,1,0.3491533670995823,0.0,1.0,2021-07-12,2021-07-12
GDDY,1,0.0682200212694681,0.0,1.0,2022-01-03,2022-01-03
GEV,1,-0.2171743236519552,0.0,0.0,2025-08-04,2025-08-04
GM,1,0.0364680861845549,0.0,1.0,2025-11-03,2025-11-03
GNRC,3,-0.09366354291969266,0.19060694246224094,0.3333333333333333,2021-07-12,2025-08-04
INTC,1,0.1530026299499554,0.0,1.0,2025-10-06,2025-10-06
ISRG,1,-0.1655201878684005,0.0,0.0,2025-11-03,2025-11-03
IVZ,1,-0.2829071279197945,0.0,0.0,2025-08-04,2025-08-04
JBHT,1,-0.0795224388744094,0.0,0.0,2025-11-03,2025-11-03
JBL,1,-0.1116878792030161,0.0,0.0,2022-01-03,2022-01-03
LRCX,1,0.2227011042282423,0.0,1.0,2025-10-06,2025-10-06
LUV,2,-0.016407171277194748,0.05657236641174585,0.5,2023-07-03,2025-12-08
LVS,1,0.0865454751035397,0.0,1.0,2025-11-03,2025-11-03
LW,1,-0.0092293498607723,0.0,0.0,2022-01-03,2022-01-03
MCHP,1,0.2161013598843542,0.0,1.0,2025-12-08,2025-12-08
MELI,1,-0.011940819424508,0.0,0.0,2022-01-03,2022-01-03
MOS,1,0.1899515591106957,0.0,1.0,2022-01-03,2022-01-03
MRVL,1,-0.3971464812157118,0.0,0.0,2025-10-06,2025-10-06
MSCI,1,0.3763815100658834,0.0,1.0,2021-07-12,2021-07-12
MSTR,1,-0.1846972272927104,0.0,0.0,2023-07-03,2023-07-03
MU,2,0.04850713176702116,0.10197222358684695,0.5,2025-10-06,2025-11-03
NCLH,1,-0.0869564956461601,0.0,0.0,2023-07-03,2023-07-03
NKE,1,0.2831730526151637,0.0,1.0,2021-07-12,2021-07-12
NVDA,1,0.8414278220053901,0.0,1.0,2021-07-12,2021-07-12
PTC,1,-0.2582989529156777,0.0,0.0,2025-08-04,2025-08-04
SMCI,2,0.14432939166029682,0.171928333979642,0.5,2025-08-04,2025-10-06
SNPS,1,0.2277569564733985,0.0,1.0,2025-12-08,2025-12-08
TEL,1,-0.1452155804447708,0.0,0.0,2025-08-04,2025-08-04
TER,1,-0.2267326228549911,0.0,0.0,2025-11-03,2025-11-03
TPR,1,-0.1118914878780625,0.0,0.0,2025-08-04,2025-08-04
TSLA,1,-0.0462374419877593,0.0,0.0,2023-07-03,2023-07-03
TTD,2,-0.015868222427941614,0.6116004929413272,0.5,2021-07-12,2025-08-04
URI,1,0.0435621219187734,0.0,1.0,2023-07-03,2023-07-03
WBD,3,0.07577229556738167,0.047990126395456266,1.0,2025-10-06,2025-12-08
WDC,2,-0.008544075095197293,0.1890561084995639,0.5,2025-10-06,2025-11-03
