ticker,total_picks,mean_realized_return,std_realized_return,hit_rate,first_picked_week,last_picked_week
ADI,1,-0.1704582130145064,0.0,0.0,2025-08-12,2025-08-12
ALB,2,-0.17338837133895516,0.17338837133895516,0.0,2025-08-12,2026-12-01
AMAT,1,-0.2115135538196852,0.0,0.0,2025-06-10,2025-06-10
AMD,2,-0.5313128953074274,0.06587563233957143,0.0,2025-03-11,2025-04-08
ANET,1,-0.1539651877778219,0.0,0.0,2022-03-01,2022-03-01
ASML,1,-0.2569443648167003,0.0,0.0,2025-06-10,2025-06-10
AVGO,1,-0.1277211606543529,0.0,0.0,2022-03-01,2022-03-01
AXON,1,-0.2280457936686371,0.0,0.0,2021-12-07,2021-12-07
AZO,1,0.2589774740023629,0.0,1.0,2021-12-07,2021-12-07
BA,1,0.0,0.0,0.0,2026-12-01,2026-12-01
BIIB,1,-0.2467856250099362,0.0,0.0,2025-08-12,2025-08-12
CAH,1,-0.316423099858835,0.0,0.0,2025-03-11,2025-03-11
CCL,1,-0.5126582163875056,0.0,0.0,2023-03-07,2023-03-07
CF,1,0.2338858619173547,0.0,1.0,2022-03-01,2022-03-01
CMG,1,0.0466525709526837,0.0,1.0,2021-12-07,2021-12-07
CNC,2,0.2392406029619351,0.21346931180532172,1.0,2022-03-01,2025-06-10
COIN,1,-0.2597272870883022,0.0,0.0,2023-03-07,2023-03-07
CSGP,1,-0.178663665440616,0.0,0.0,2025-04-08,2025-04-08
DAL,1,-0.2560466850232405,0.0,0.0,2023-03-07,2023-03-07
DECK,2,0.00178880349760685,0.04138877565576015,0.5,2021-12-07,2025-08-12
DG,1,-0.0963224745687354,0.0,0.0,2025-08-12,2025-08-12
DXCM,1,0.2316366399273568,0.0,1.0,2025-08-12,2025-08-12
ELV,1,0.0089489390207746,0.0,1.0,2022-03-01,2022-03-01
F,1,-0.2106299269262688,0.0,0.0,2023-03-07,2023-03-07
FCX,1,0.0,0.0,0.0,2026-12-01,2026-12-01
FSLR,1,0.0294834950928404,0.0,1.0,2021-12-07,2021-12-07
GDDY,1,-0.0162130502554086,0.0,0.0,2022-03-01,2022-03-01
GEV,1,-0.5137076537938179,0.0,0.0,2025-04-08,2025-04-08
GM,1,-0.2817355742712932,0.0,0.0,2025-03-11,2025-03-11
GNRC,3,-0.29901936172083315,0.0875977235739113,0.0,2021-12-07,2025-04-08
HII,1,0.0,0.0,0.0,2026-12-01,2026-12-01
INTC,1,-0.4331784726802934,0.0,0.0,2025-06-10,2025-06-10
ISRG,1,-0.1018173718647017,0.0,0.0,2025-03-11,2025-03-11
IVZ,1,-0.3823809396652948,0.0,0.0,2025-04-08,2025-04-08
JBHT,1,-0.1195286791524761,0.0,0.0,2025-03-11,2025-03-11
JBL,1,-0.190604605161503,0.0,0.0,2022-03-01,2022-03-01
LHX,1,0.0,0.0,0.0,2026-12-01,2026-12-01
LRCX,2,-0.1868588418215445,0.1868588418215445,0.0,2025-06-10,2026-12-01
LUV,2,-0.16820710598047184,0.00675998660207805,0.0,2023-03-07,2025-08-12
LVS,1,-0.292564417742044,0.0,0.0,2025-03-11,2025-03-11
LW,1,-0.0442740628508393,0.0,0.0,2022-03-01,2022-03-01
MCHP,1,-0.0265775940026953,0.0,0.0,2025-08-12,2025-08-12
MELI,1,-0.1771872267489077,0.0,0.0,2022-03-01,2022-03-01
MOS,1,0.3849216658201693,0.0,1.0,2022-03-01,2022-03-01
MRVL,1,-0.2080521860206358,0.0,0.0,2025-06-10,2025-06-10
MSCI,1,0.1103848490242387,0.0,1.0,2021-12-07,2021-12-07
MSTR,1,-0.4093796381953931,0.0,0.0,2023-03-07,2023-03-07
MU,3,-0.3110357501178261,0.23297485008259183,0.0,2025-03-11,2026-12-01
NCLH,1,-0.3842994128221534,0.0,0.0,2023-03-07,2023-03-07
NKE,1,0.0310220540505472,0.0,1.0,2021-12-07,2021-12-07
NVDA,1,0.3728701158161573,0.0,1.0,2021-12-07,2021-12-07
PTC,1,-0.3228594297566192,0.0,0.0,2025-04-08,2025-04-08
Q,1,0.0,0.0,0.0,2026-12-01,2026-12-01
SMCI,2,-0.3156654466683766,0.11555558729605558,0.0,2025-04-08,2025-06-10
SNPS,2,0.1713151015457259,0.1713151015457259,0.5,2025-08-12,2026-12-01
TEL,1,-0.3629902110380285,0.0,0.0,2025-04-08,2025-04-08
TER,1,-0.5074561940162411,0.0,0.0,2025-03-11,2025-03-11
TPR,1,-0.4299758769576191,0.0,0.0,2025-04-08,2025-04-08
TSLA,1,-0.3764563249211322,0.0,0.0,2023-03-07,2023-03-07
TTD,2,-0.13496405564329328,0.3231464809871919,0.5,2021-12-07,2025-04-08
URI,2,-0.0451151400327113,0.0451151400327113,0.0,2023-03-07,2026-12-01
WBD,3,-0.5106042257463167,0.05473162494529514,0.0,2025-03-11,2025-08-12
WDC,2,-0.6292772456321436,0.08753076101212129,0.0,2025-03-11,2025-06-10
