ticker,total_picks,mean_realized_return,std_realized_return,hit_rate,first_picked_week,last_picked_week
ADBE,1,-0.1865620239485962,0.0,0.0,2022-03-01,2022-03-01
ADI,1,-0.1704582130145064,0.0,0.0,2025-08-12,2025-08-12
AIG,1,0.0,0.0,0.0,2026-12-01,2026-12-01
ALB,2,-0.17338837133895516,0.17338837133895516,0.0,2025-08-12,2026-12-01
ALGN,1,0.2021484356612852,0.0,1.0,2025-04-08,2025-04-08
AMAT,1,-0.2115135538196852,0.0,0.0,2025-06-10,2025-06-10
AMD,2,-0.5313128953074274,0.06587563233957143,0.0,2025-03-11,2025-04-08
ANET,1,-0.1539651877778219,0.0,0.0,2022-03-01,2022-03-01
APP,1,0.3221726563849973,0.0,1.0,2021-12-07,2021-12-07
ARE,2,0.7519788419623008,0.03505651622024586,1.0,2025-03-11,2025-08-12
ASML,1,-0.2569443648167003,0.0,0.0,2025-06-10,2025-06-10
AVGO,1,-0.1277211606543529,0.0,0.0,2022-03-01,2022-03-01
AXON,1,-0.2280457936686371,0.0,0.0,2021-12-07,2021-12-07
AZN,1,-0.0010727922578424,0.0,0.0,2023-03-07,2023-03-07
AZO,1,0.2589774740023629,0.0,1.0,2021-12-07,2021-12-07
BA,1,0.0,0.0,0.0,2026-12-01,2026-12-01
BAX,2,0.5892447313220083,0.32453891646724775,1.0,2025-03-11,2025-04-08
BBY,1,0.0,0.0,0.0,2026-12-01,2026-12-01
BF-B,1,0.0,0.0,0.0,2026-12-01,2026-12-01
BIIB,2,-0.2874714363601764,0.04068581135024021,0.0,2021-12-07,2025-08-12
BLDR,1,-0.1211549166228606,0.0,0.0,2025-06-10,2025-06-10
CAH,1,-0.316423099858835,0.0,0.0,2025-03-11,2025-03-11
CARR,1,-0.1264280146948645,0.0,0.0,2022-03-01,2022-03-01
CCL,2,-0.37200388431611464,0.14065433207139097,0.0,2021-12-07,2023-03-07
CF,1,0.2338858619173547,0.0,1.0,2022-03-01,2022-03-01
CHTR,2,0.4469984224954482,0.14652089089474377,1.0,2025-03-11,2025-04-08
CMG,3,0.25859810248276505,0.22841788196041923,1.0,2021-12-07,2025-04-08
CNC,3,0.6275084945919639,0.5760931719175992,1.0,2022-03-01,2025-06-10
COIN,3,-0.12696401768417992,0.21015329655390974,0.3333333333333333,2022-03-01,2025-08-12
CPB,1,0.1455601096985914,0.0,1.0,2023-03-07,2023-03-07
CSGP,1,-0.178663665440616,0.0,0.0,2025-04-08,2025-04-08
CTVA,1,0.1538102475934186,0.0,1.0,2025-06-10,2025-06-10
DAL,1,-0.2560466850232405,0.0,0.0,2023-03-07,2023-03-07
DASH,1,-0.3003990445356337,0.0,0.0,2022-03-01,2022-03-01
DDOG,2,-0.0817020730313264,0.0817020730313264,0.0,2025-08-12,2026-12-01
DECK,3,0.006386565207815167,0.034413650281193336,0.6666666666666666,2021-12-07,2025-08-12
DG,1,-0.0963224745687354,0.0,0.0,2025-08-12,2025-08-12
DOW,1,0.3376562740461535,0.0,1.0,2025-04-08,2025-04-08
DXCM,2,0.24119504718339413,0.009558407256037314,1.0,2025-06-10,2025-08-12
ELV,2,0.0207519182854102,0.0118029792646356,1.0,2022-03-01,2023-03-07
F,1,-0.2106299269262688,0.0,0.0,2023-03-07,2023-03-07
FCX,2,0.01971726394620975,0.01971726394620975,0.5,2025-06-10,2026-12-01
FDS,1,0.531944194147763,0.0,1.0,2025-06-10,2025-06-10
FFIV,1,0.0739239456200369,0.0,1.0,2025-03-11,2025-03-11
