PS C:\Quant\scripts> & "C:\Quant\quant_freshness_audit.ps1"
=== Quant Freshness Audit ===

=== Freshness Report ===

FileName                                                               Cadence LastUpdated         Status
--------                                                               ------- -----------         ------
extract_last_month_prices.py                                           Daily   10/02/2026 17:10:24 GREEN
last_month_prices.csv                                                  Daily   10/02/2026 17:11:07 GREEN
compute_independent_last_month_performance.py                          Daily   10/02/2026 17:11:59 GREEN
validate_weekly_performance.py                                         Daily   10/02/2026 17:18:45 GREEN
build_weekly_strategy_file.py                                          Daily   10/02/2026 17:34:02 GREEN
diagnose_ls_performance.py                                             Daily   10/02/2026 17:39:34 GREEN
build_ls_and_lo_weekly.py                                              Daily   10/02/2026 17:50:14 GREEN
build_ls_and_lo_weekly_symmetric.py                                    Daily   10/02/2026 18:01:48 GREEN
build_strategy_returns_weekly.py                                       Daily   10/02/2026 18:08:57 GREEN
weekly_picks_quant_v2.py                                               Daily   10/02/2026 18:26:56 GREEN
weekly_picks_quant_v2.parquet                                          Daily   10/02/2026 18:27:20 GREEN
strategy_returns_weekly.parquet                                        Daily   10/02/2026 18:28:34 GREEN
max_possible_strategy_returns.py                                       Daily   10/02/2026 18:51:13 GREEN
max_weekly_monthly_top10.py                                            Daily   10/02/2026 18:56:35 GREEN
show_max_top10_bottom10_details.py                                     Daily   10/02/2026 18:59:28 GREEN
max_ceiling_dashboard_metrics.py                                       Daily   10/02/2026 19:04:58 GREEN
market_events_static.csv                                               Daily   10/02/2026 19:17:00 GREEN
event_engine.py                                                        Daily   10/02/2026 19:17:59 GREEN
__init__.cpython-312.pyc                                               Daily   10/02/2026 19:44:50 GREEN
event_engine.cpython-312.pyc                                           Daily   10/02/2026 19:57:17 GREEN
check_perf.py                                                          Daily   10/02/2026 20:07:47 GREEN
market_events_quant.parquet                                            Daily   10/02/2026 20:14:28 GREEN
dashboard_app.py                                                       Daily   10/02/2026 20:22:47 GREEN
dashboard_data.py                                                      Daily   10/02/2026 20:35:41 GREEN
dashboard_data.cpython-312.pyc                                         Daily   10/02/2026 20:35:45 GREEN
refresh_weekly_returns.ps1                                             Daily   10/02/2026 20:50:53 GREEN
refresh_weekly_returns.py                                              Daily   10/02/2026 20:52:59 GREEN
daily_verification_pipeline.ps1                                        Daily   10/02/2026 21:01:25 GREEN
predicted_longshort_sample.20260211_020001.csv                         Daily   11/02/2026 03:42:35 GREEN
realized_longshort_sample.20260211_020001.csv                          Daily   11/02/2026 03:42:35 GREEN
Quant Master Pipeline.xml                                              Daily   11/02/2026 07:00:43 GREEN
QuantDailyVerification.xml                                             Daily   11/02/2026 07:00:51 GREEN
run_ingestion_and_healthcheck.ps1                                      Daily   11/02/2026 07:05:14 GREEN
ingestion_5years.csv                                                   Daily   11/02/2026 07:14:44 GREEN
quant_prices_v1.csv                                                    Daily   11/02/2026 07:14:48 GREEN
run_verification_and_dashboard_refresh.ps1                             Daily   11/02/2026 07:21:40 GREEN
predicted_longshort_sample.20260211_072945.csv                         Daily   11/02/2026 09:17:00 GREEN
realized_longshort_sample.20260211_072945.csv                          Daily   11/02/2026 09:17:00 GREEN
predicted_longshort_sample.20260211_121142.csv                         Daily   11/02/2026 13:55:12 GREEN
realized_longshort_sample.20260211_121142.csv                          Daily   11/02/2026 13:55:12 GREEN
refresh_dashboard_weekly.py                                            Daily   11/02/2026 14:06:35 GREEN
predicted_longshort_sample.20260211_140708.csv                         Daily   11/02/2026 16:00:23 GREEN
realized_longshort_sample.20260211_140708.csv                          Daily   11/02/2026 16:00:23 GREEN
quant_cleanup.ps1                                                      Daily   11/02/2026 16:34:36 GREEN
FullName.txt                                                           Daily   11/02/2026 16:35:33 GREEN
filecleanup.ps1                                                        Daily   11/02/2026 16:43:36 GREEN
quant_freshness_audit.ps1                                              Daily   11/02/2026 16:58:23 GREEN
daily_verification_20260211_020001.log                                 Log     11/02/2026 03:42:35 GREEN
ingestion_5years.log                                                   Log     11/02/2026 07:14:48 GREEN
canonical_pipeline.log                                                 Log     11/02/2026 07:14:48 GREEN
master_pipeline_wrapper.log                                            Log     11/02/2026 07:14:48 GREEN
daily_verification_20260211_072945.log                                 Log     11/02/2026 09:17:00 GREEN
daily_verification_20260211_121142.log                                 Log     11/02/2026 13:55:12 GREEN
daily_verification_20260211_140708.log                                 Log     11/02/2026 16:00:28 GREEN
quant_dashboard_inputs_v1.csv                                          Static  25/01/2026 10:48:18 GREEN
quant_report_v1.csv                                                    Static  25/01/2026 11:06:22 GREEN
quant_signals_v1_2.csv                                                 Static  25/01/2026 11:06:26 GREEN
dashboard_returns_v2.csv                                               Static  25/01/2026 22:56:26 GREEN
risk_model_backup_before_idio_var.parquet                              Static  31/01/2026 10:58:17 GREEN
strategy_returns.parquet                                               Static  05/02/2026 07:01:58 GREEN
risk_model.parquet                                                     Static  07/02/2026 11:52:41 GREEN
expected_returns_quant_v1.parquet                                      Static  07/02/2026 11:52:41 GREEN
alpha_quant_v2.parquet                                                 Static  07/02/2026 11:52:41 GREEN
quant_dashboard_inputs_v2.csv                                          Static  07/02/2026 11:52:41 GREEN
prices.parquet                                                         Static  08/02/2026 10:38:43 GREEN
fundamentals.parquet                                                   Static  08/02/2026 10:38:45 GREEN
weekly_picks_summary_last_2m.csv                                       Weekly  06/02/2026 15:43:41 GREEN
__init__.py                                                            Daily   21/01/2026 11:28:12 RED
__init__.py                                                            Daily   21/01/2026 12:02:50 RED
__init__.py                                                            Daily   21/01/2026 12:02:50 RED
__init__.py                                                            Daily   21/01/2026 12:02:50 RED
__init__.py                                                            Daily   21/01/2026 12:02:50 RED
enrichment_daily_quant_v1.py                                           Daily   21/01/2026 12:08:10 RED
enriched_daily.csv                                                     Daily   21/01/2026 12:13:18 RED
master_dataset_quant_v1.py                                             Daily   21/01/2026 12:29:26 RED
incremental_update_quant_v1.py                                         Daily   21/01/2026 13:01:00 RED
signal_library_quant_v1.cpython-312.pyc                                Daily   21/01/2026 16:07:10 RED
factor_engine_quant_v1.py                                              Daily   21/01/2026 17:23:52 RED
signal_library_quant_v1.py                                             Daily   21/01/2026 20:08:16 RED
signal_library_quant_v1.cpython-312.pyc                                Daily   21/01/2026 20:08:24 RED
backtest_engine_quant_v1.py                                            Daily   21/01/2026 20:21:56 RED
performance_engine_quant_v1.py                                         Daily   21/01/2026 20:31:24 RED
composite_signal_quant_v1.py                                           Daily   22/01/2026 08:03:26 RED
