run_at_utc,strategy_rows,weekly_rows,final_long_cum,unit_converted,clip_value
2026-02-02T18:59:07.560594Z,1251,10,236.73374604180978,False,0.5
2026-02-02T19:27:35.861610Z,927,10,53.963360105760806,False,0.5
2026-02-02T20:20:31.674078Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-02T20:33:06.600668Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-02T20:33:12.965401Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-02T20:33:23.838272Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-02T20:33:41.224962Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-02T20:33:41.375562Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-02T20:34:36.511167Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-02T20:35:06.771114Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-02T20:35:09.695824Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-02T20:35:12.152623Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-02T20:35:12.585979Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-02T20:35:13.038711Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-02T20:35:14.138478Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-02T20:44:05.087946Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-02T20:44:08.889127Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-02T20:44:24.393416Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-02T21:00:47.447391Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-02T21:02:07.939483Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-02T21:02:08.026933Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-02T21:02:09.406124Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-03T01:00:53.621204Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-03T07:32:47.326306Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-04T01:00:40.045256Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-05T03:01:02.157537Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-05T06:56:01.269087Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-05T06:56:34.827872Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-05T07:01:58.636130Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-05T07:06:17.578692Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-05T07:10:42.425071Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-05T07:11:22.928685Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-05T07:12:00.065357Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-05T07:12:34.104596Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-05T07:13:14.349648Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-05T07:29:32.104571Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-05T07:30:00.319801Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
