name,path,owner,purpose,inputs,outputs,side_effects,dependencies,last_modified,test_coverage,repro_steps,acceptance_tests,known_limitations,checksum
compute_performance.py,analysis/compute_performance.py,,Script compute_performance.py — purpose to be filled by owner,,,,,2026-02-04,unit: no; integration: no,,,,ff45c19e3ddbfc73015863876b09ebaf38256b794b6ac4a6970c463f3ae3ccdb
performance_anatomy.py,analysis/performance_anatomy.py,,Script performance_anatomy.py — purpose to be filled by owner,,,,,2026-02-04,unit: no; integration: no,,,,e930c2f4084ba5a51f3eef56ff873a0736333d6480f4fba0d260d917b263fbc3
app.py,archive/app.py,,Script app.py — purpose to be filled by owner,,,,,2026-01-25,unit: no; integration: no,,,,7f670fce6cd4e3bed31e67af3a5399d43b0b9cc45896aefac4a1c6a233b372d9
backtest_engine_quant_v1.py,archive/backtest_engine_quant_v1.py,,Script backtest_engine_quant_v1.py — purpose to be filled by owner,,,,,2026-01-21,unit: no; integration: no,,,,a907743ca240bdc57ba2ad15763cf936edb3966432aff511b939d284c8268b9b
dashboard_growth_quant_v1.py,archive/dashboard_growth_quant_v1.py,,Script dashboard_growth_quant_v1.py — purpose to be filled by owner,,,,,2026-01-25,unit: no; integration: no,,,,af3b6d72436c70529922978e69b63a53d33d6b3d8c798c67601e1c5df5a5eb13
dashboard_returns_v2.py,archive/dashboard_returns_v2.py,,Script dashboard_returns_v2.py — purpose to be filled by owner,,,,,2026-01-25,unit: no; integration: no,,,,433f3f5f59c2d2aeec6a7a6834944b90ec310e2d4b230547a821f0944e83d9e3
dashboard_top10_quant_v1.py,archive/dashboard_top10_quant_v1.py,,Script dashboard_top10_quant_v1.py — purpose to be filled by owner,,,,,2026-01-25,unit: no; integration: no,,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
optimiser_quant_v1.py,archive/optimiser_quant_v1.py,,Script optimiser_quant_v1.py — purpose to be filled by owner,,,,,2026-01-22,unit: no; integration: no,,,,055bbfe01cefc2852b0fdec284c206293527b9db812ea0ee0a5e554c874053cb
1_Dashboard_Overview.py,archive/pages/1_Dashboard_Overview.py,,Script 1_Dashboard_Overview.py — purpose to be filled by owner,,,,,2026-01-25,unit: no; integration: no,,,,cb14c2a592f3a71ec533b83cbb50df47a2c786260784f9f1c63aac23a5351243
1_Weekly_Picks.py,archive/pages/1_Weekly_Picks.py,,Script 1_Weekly_Picks.py — purpose to be filled by owner,,,,,2026-01-30,unit: no; integration: no,,,,9d5503ff1593da43a36d4d5d2fd7c432f81f06ed19078d3380e1011f3a7a2d5f
2_Performance.py,archive/pages/2_Performance.py,,Script 2_Performance.py — purpose to be filled by owner,,,,,2026-01-31,unit: no; integration: no,,,,75615889679753d3b584dc4a145f455294c5fbc682e1d08c02feafde85f31398
2_Signals_Watchlist.py,archive/pages/2_Signals_Watchlist.py,,Script 2_Signals_Watchlist.py — purpose to be filled by owner,,,,,2026-01-25,unit: no; integration: no,,,,e830391d6a8f69ec44454faa1b6c5c946c5a5d713a9e010785a1232416d27b80
3_Regimes.py,archive/pages/3_Regimes.py,,Script 3_Regimes.py — purpose to be filled by owner,,,,,2026-01-31,unit: no; integration: no,,,,b9e7b64b5423ca4690409a432ccdec9566ac9e7f52ff9a18e56ecd7b385971c9
3_Ticker_Intelligence.py,archive/pages/3_Ticker_Intelligence.py,,Script 3_Ticker_Intelligence.py — purpose to be filled by owner,,,,,2026-01-25,unit: no; integration: no,,,,afdb596e621daca7a1bc7f1b4d911ba5ae0003a0e859fba57261ce67fd8bd287
4_Exposure.py,archive/pages/4_Exposure.py,,Script 4_Exposure.py — purpose to be filled by owner,,,,,2026-01-31,unit: no; integration: no,,,,b142a322246f08e227d5d6ad8aa28fcbf6a5070debc20b101a81b70b8676f1d5
4_Strategy_Performance.py,archive/pages/4_Strategy_Performance.py,,Script 4_Strategy_Performance.py — purpose to be filled by owner,,,,,2026-01-25,unit: no; integration: no,,,,eade9809d127e1909ef71384464dcac26e26b50c2b908ea9e23e460a9a1046d8
5_Diagnostics.py,archive/pages/5_Diagnostics.py,,Script 5_Diagnostics.py — purpose to be filled by owner,,,,,2026-01-31,unit: no; integration: no,,,,66498b0c13a2718fb3888cd0ed2e0ef956f33a4980a81402a5a6651f034d69fb
1_Dashboard_Overview.py,archive/pages/archive/1_Dashboard_Overview.py,,Script 1_Dashboard_Overview.py — purpose to be filled by owner,,,,,2026-01-25,unit: no; integration: no,,,,cb14c2a592f3a71ec533b83cbb50df47a2c786260784f9f1c63aac23a5351243
